cms_certification_num,payer,code,internal_revenue_code,description,inpatient_outpatient,price,code_disambiguator
500064,GROSS CHARGE,95991,02600017,HC RFL&MAIN IMPLT PMP/RSVR DLVR SPI/BRN PHY/QHP,UNSPECIFIED,626.36,NONE
500064,GROSS CHARGE,96521,02600018,RFL/MAIN PORTABLE PMP,UNSPECIFIED,816.0,NONE
500064,GROSS CHARGE,96523,02600020,HC VAD IRRIGATION,UNSPECIFIED,279.45,NONE
500064,GROSS CHARGE,96372,02600022,HC THERAPEUTIC PROPHYLACTIC/DX INJECTION SUBQ/IM,UNSPECIFIED,155.29,NONE
500064,GROSS CHARGE,96374,02600023,THER PROPH/DX NJX IV PUSH SINGLE/1ST SBST/DRUG,UNSPECIFIED,322.2,NONE
500064,GROSS CHARGE,96375,02600024,THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG,UNSPECIFIED,273.44,NONE
500064,GROSS CHARGE,96376,02600025,HC THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG FAC,UNSPECIFIED,209.09,NONE
500064,GROSS CHARGE,96360,02600026,IV INFUSION HYDRATION INITIAL 31 MIN-1 HOUR,UNSPECIFIED,491.24,NONE
500064,GROSS CHARGE,96361,02600027,IV INFUSION HYDRATION EACH ADDITIONAL HOUR,UNSPECIFIED,143.7,NONE
500064,GROSS CHARGE,96365,02600028,IV INFUSION THERAPY/PROPHYLAXIS /DX 1ST >1 HOUR,UNSPECIFIED,550.89,NONE
500064,GROSS CHARGE,96366,02600029,IV INFUSION THERAPY PROPHYLAXIS/DX EA HOUR,UNSPECIFIED,154.74,NONE
500064,GROSS CHARGE,96367,02600030,HC IV NFS THER PROPH/DX ADDL SEQUENTIAL NFS >1 HR,UNSPECIFIED,175.92,NONE
500064,GROSS CHARGE,96368,02600031,HC IV NFS THERAPY PROPHYLAXIS/DX CONCURRENT NFS,UNSPECIFIED,160.78,NONE
500064,GROSS CHARGE,96369,02600032,HC SUBCUTANEOUS INFUSION INITIAL 1 HR W/PUMP SET-UP,UNSPECIFIED,425.11,NONE
500064,GROSS CHARGE,96370,02600033,HC SUBCUTANEOUS INFUSION EACH ADDITIONAL HOUR,UNSPECIFIED,111.53,NONE
500064,GROSS CHARGE,96371,02600034,HC SUBQ INFUSION ADDITIONAL PUMP INFUSION SITE,UNSPECIFIED,171.67,NONE
500064,GROSS CHARGE,96373,02600035,HC THERAPEUTIC PROPHYLACTIC/DX NJX INTRA-ARTERIAL,UNSPECIFIED,286.21,NONE
500064,GROSS CHARGE,95990,02600036,HC REFILL&MAINTENANCE PUMP DRUG DLVR SPINAL/BRAIN,UNSPECIFIED,801.3,NONE
500064,GROSS CHARGE,96377,02600037,HC APPL ON-BODY INJECTOR FOR TIMED SUBQ INJECTION,UNSPECIFIED,196.02,NONE
500064,GROSS CHARGE,M0240,02600038,HC IV INF/SCI CASIRIV & IMDEVIMB& P/ADM SUBQ RP DS,UNSPECIFIED,1710.0,NONE
500064,GROSS CHARGE,M0247,02600039,HC INTRAVENOUS INF SOTROVIMAB INC INF & P ADM MON,UNSPECIFIED,1710.0,NONE
500064,GROSS CHARGE,M0249,02600040,HC IV TCZ HP PT 2 & > COVID-19 INC INF & PA MON FD,UNSPECIFIED,1710.0,NONE
500064,GROSS CHARGE,NONE,02700006,"HC MED/SURG SUPPLIES, NEEDLE, TROCAR",UNSPECIFIED,102.72,NONE
500064,GROSS CHARGE,A7520,02700012,TRACHEOST/LARYNGECT TUBE NON-CUFFED POLYVINYLCHL,UNSPECIFIED,246.52,NONE
500064,GROSS CHARGE,NONE,02700018,"HC MED/SURG SUPPLIES, PERIT/DIAL. ACCESS",UNSPECIFIED,612.44,NONE
500064,GROSS CHARGE,NONE,02700023,"HC MED/SURG SUPPLIES, SAUNA SUIT",UNSPECIFIED,193.88,NONE
500064,GROSS CHARGE,NONE,02700024,"HC MED/SURG SUPPLIES, SAUNA SUIT BOOTIES",UNSPECIFIED,69.34,NONE
500064,GROSS CHARGE,NONE,02700026,"HC MED/SURG SUPPLIES, YUEH CATH (STRAIGHT)",UNSPECIFIED,51.36,NONE
500064,GROSS CHARGE,NONE,02700029,"HC MED/SURG SUPPLIES, ABCESS EVACUATION SET",UNSPECIFIED,75.75,NONE
500064,GROSS CHARGE,NONE,02700030,"HC MED/SURG SUPPLIES, BIOPINCE INTRODUCER",UNSPECIFIED,30.82,NONE
500064,GROSS CHARGE,NONE,02700032,"HC MED/SURG SUPPLIES, BX NEEDLE 17GX7.5CM BONE",UNSPECIFIED,320.99,NONE
500064,GROSS CHARGE,NONE,02700033,"HC MED/SURG SUPPLIES, CATH DRN APDL LOCKING PG",UNSPECIFIED,466.07,NONE
500064,GROSS CHARGE,NONE,02700034,"HC MED/SURG SUPPLIES, CATH DRN DAWSON/MUELLER",UNSPECIFIED,329.97,NONE
500064,GROSS CHARGE,NONE,02700035,"HC MED/SURG SUPPLIES, DILATOR",UNSPECIFIED,62.91,NONE
500064,GROSS CHARGE,NONE,02700036,"HC MED/SURG SUPPLIES, EVOLUTION BX NDLE 18G",UNSPECIFIED,116.84,NONE
500064,GROSS CHARGE,NONE,02700037,"HC MED/SURG SUPPLIES, EVOLUTION BX NDLE 20G",UNSPECIFIED,139.95,NONE
500064,GROSS CHARGE,NONE,02700038,"HC MED/SURG SUPPLIES, GUIDE WIRE",UNSPECIFIED,93.73,NONE
500064,GROSS CHARGE,NONE,02700039,"HC MED/SURG SUPPLIES, HEMO/VASCULAR ACCESS",UNSPECIFIED,612.44,NONE
500064,GROSS CHARGE,NONE,02700040,"HC MED/SURG SUPPLIES, HILAL ENBO. MICROCOIL",UNSPECIFIED,305.58,NONE
500064,GROSS CHARGE,NONE,02700041,"HC MED/SURG SUPPLIES, INTRODUCER 26G/1.9",UNSPECIFIED,146.37,NONE
500064,GROSS CHARGE,NONE,02700042,"HC MED/SURG SUPPLIES, INTRODUCER ACCUSTICK SET",UNSPECIFIED,364.64,NONE
500064,GROSS CHARGE,NONE,02700043,"HC MED/SURG SUPPLIES, L-CATH 24GX30CM",UNSPECIFIED,223.41,NONE
500064,GROSS CHARGE,NONE,02700044,"HC MED/SURG SUPPLIES, L-CATH 28GX25CM",UNSPECIFIED,274.77,NONE
500064,GROSS CHARGE,NONE,02700045,"HC MED/SURG SUPPLIES, NEEDLE ACCUSTICH",UNSPECIFIED,101.43,NONE
500064,GROSS CHARGE,NONE,02700046,"HC MED/SURG SUPPLIES, NEEDLE KOPANS/SPRINGHOOK",UNSPECIFIED,91.16,NONE
500064,GROSS CHARGE,NONE,02700047,"HC MED/SURG SUPPLIES, NEEDLE TENINO J BX",UNSPECIFIED,269.63,NONE
500064,GROSS CHARGE,NONE,02700048,"HC MED/SURG SUPPLIES, NEEDLE, BIOPSY CHIBA",UNSPECIFIED,96.3,NONE
500064,GROSS CHARGE,NONE,02700049,"HC MED/SURG SUPPLIES, NEEDLE, BIOPSY, BIOPINCE",UNSPECIFIED,107.86,NONE
500064,GROSS CHARGE,NONE,02700050,"HC MED/SURG SUPPLIES, NEEDLE, BIOPSY, TEMNO COAX",UNSPECIFIED,106.57,NONE
500064,GROSS CHARGE,NONE,02700052,"HC MED/SURG SUPPLIES, NITRIC OXIDE PER HOUR",UNSPECIFIED,561.51,NONE
500064,GROSS CHARGE,NONE,02700056,"HC MED/SURG SUPPLIES, PNEUMOTHORAX SET",UNSPECIFIED,394.17,NONE
500064,GROSS CHARGE,NONE,02700057,"HC MED/SURG SUPPLIES, ROOKE SURGICAL BOOT",UNSPECIFIED,468.64,NONE
500064,GROSS CHARGE,NONE,02700058,"HC MED/SURG SUPPLIES, SAFE-T CENTESIS CATH",UNSPECIFIED,906.46,NONE
500064,GROSS CHARGE,A4358,02700059,URINARY LEG BAG; VINYL W/WO TUBE EACH,UNSPECIFIED,193.88,NONE
500064,GROSS CHARGE,NONE,02700061,"HC MED/SURG SUPPLIES, YUEH CATH (PIGTAIL)",UNSPECIFIED,87.31,NONE
500064,GROSS CHARGE,C1787,02700062,PATIENT PROGPATIENT PROGRAMMER NEUROSTIMULATOR,UNSPECIFIED,688.19,NONE
500064,GROSS CHARGE,NONE,02700079,HC SPIRIT SELECT RENTAL BED,UNSPECIFIED,1396.92,NONE
500064,GROSS CHARGE,A4649,02700083,HC KIT PHOTOPHERESIS,UNSPECIFIED,4468.11,NONE
500064,GROSS CHARGE,A9277,02700084,HC TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS,UNSPECIFIED,709.58,NONE
500064,GROSS CHARGE,NONE,02720001,HC ACAPELLA DEVICE,UNSPECIFIED,236.25,NONE
500064,GROSS CHARGE,C1715,02720002,BRACHYTHERAPY NEEDLE,UNSPECIFIED,50.17,NONE
500064,GROSS CHARGE,C1726,02720003,CATHETER BALLOON DILATATION NON-VASCULAR,UNSPECIFIED,282.06,NONE
500064,GROSS CHARGE,C1728,02720004,HC CATHETER BRACHYTHERAPY SEED ADMINISTRATION,UNSPECIFIED,92.45,NONE
500064,GROSS CHARGE,C1751,02720005,HC MEDIUM CATHETER INFUS INSRT PERIPHERALLY CNTRLLY/MIDLN,UNSPECIFIED,464.6,NONE
500064,GROSS CHARGE,C1750,02720010,CATHETER  HEMODIAL/PERITONEAL  LONG-TERM,UNSPECIFIED,753.67,NONE
500064,GROSS CHARGE,C1760,02720011,CLOSURE DEVICE VASCULAR,UNSPECIFIED,753.67,NONE
500064,GROSS CHARGE,C1788,02720012,PORT INDWELLING,UNSPECIFIED,870.51,NONE
500064,GROSS CHARGE,C1887,02720014,CATHETER GUIDING,UNSPECIFIED,398.02,NONE
500064,GROSS CHARGE,C1894,02720016,INTRDUCR/SHEATH NOT GUID INTRACARD EP NON-LASR,UNSPECIFIED,861.53,NONE
500064,GROSS CHARGE,NONE,02720019,HC FLUTTER DEVICE,UNSPECIFIED,215.7,NONE
500064,GROSS CHARGE,NONE,02720020,HC CAPSULE PH MONITORING BRAVO,UNSPECIFIED,756.24,NONE
500064,GROSS CHARGE,NONE,02720023,HC BREAST PUMP,UNSPECIFIED,191.31,NONE
500064,GROSS CHARGE,NONE,02720024,HC NB UAC/UVC CATHETER,UNSPECIFIED,317.13,NONE
500064,GROSS CHARGE,NONE,02720025,HC POSTPARTUM BALLOON,UNSPECIFIED,1219.31,NONE
500064,GROSS CHARGE,NONE,02720026,HC ABSORBABLE HEMOSTAT PER DOSE,UNSPECIFIED,866.38,NONE
500064,GROSS CHARGE,NONE,02720027,HC WOUND VAC CANISTER,UNSPECIFIED,392.88,NONE
500064,GROSS CHARGE,NONE,02720028,HC WOUND VAC PUMP,UNSPECIFIED,691.06,NONE
500064,GROSS CHARGE,NONE,02720029,HC WOUND VAC DRESSING,UNSPECIFIED,190.22,NONE
500064,GROSS CHARGE,NONE,02720030,HC NEEDLE PARATHORACENTESIS,UNSPECIFIED,287.92,NONE
500064,GROSS CHARGE,NONE,02720031,HC NEEDLE BIOPSY STANDARD,UNSPECIFIED,222.13,NONE
500064,GROSS CHARGE,NONE,02720032,HC NEEDLE BIOPSY SPECIALITY 1,UNSPECIFIED,304.61,NONE
500064,GROSS CHARGE,NONE,02720033,HC NEEDLE ASPIRATION BONE MARROW,UNSPECIFIED,305.58,NONE
500064,GROSS CHARGE,C1887,02720034,HC HYSTEROSALPINOGRAPHY CATHETER,UNSPECIFIED,398.02,NONE
500064,GROSS CHARGE,C1887,02720035,HC HYSTEROSONOGRAPHY CATHETER,UNSPECIFIED,331.25,NONE
500064,GROSS CHARGE,NONE,02720036,HC NEEDLE CORE BIOPSY & INJECTOR,UNSPECIFIED,1512.48,NONE
500064,GROSS CHARGE,NONE,02720038,HC OXYGEN PER DAY,UNSPECIFIED,260.61,NONE
500064,GROSS CHARGE,NONE,02720039,HC ELECTRODE STAT PADZ ADULT,UNSPECIFIED,179.75,NONE
500064,GROSS CHARGE,NONE,02720040,HC EPISTAXIS CATH,UNSPECIFIED,227.25,NONE
500064,GROSS CHARGE,NONE,02720041,HC PAD GEL ARCTIC SYSTEM,UNSPECIFIED,4131.72,NONE
500064,GROSS CHARGE,NONE,02720042,HC PAD GEL ARCTIC SYSTEM UNIVERSAL,UNSPECIFIED,1459.84,NONE
500064,GROSS CHARGE,NONE,02720043,HC SPECIALTY SUTURE,UNSPECIFIED,172.05,NONE
500064,GROSS CHARGE,A7040,02720044,HC ONE WAY CHEST DRAIN VALVE,UNSPECIFIED,231.11,NONE
500064,GROSS CHARGE,NONE,02720045,HC DIALYSIS LINE,UNSPECIFIED,1023.3,NONE
500064,GROSS CHARGE,NONE,02720050,HC RT BREATHING CIRCUIT,UNSPECIFIED,229.82,NONE
500064,GROSS CHARGE,NONE,02720054,HC GALACTOGRAPHY DILATORS,UNSPECIFIED,290.17,NONE
500064,GROSS CHARGE,NONE,02720055,HC DERMABOND - SKIN ADHESIVE,UNSPECIFIED,183.61,NONE
500064,GROSS CHARGE,A4353,02720056,HC TRAY CATH URETHRAL 16FR,UNSPECIFIED,14.12,NONE
500064,GROSS CHARGE,NONE,02720057,HC AERONEB SOLO NEBULIZER WITH SILICONE,UNSPECIFIED,318.41,NONE
500064,GROSS CHARGE,NONE,02720058,HC NEEDLE MISSION CORE BX 18GX10CM,UNSPECIFIED,421.13,NONE
500064,GROSS CHARGE,A7048,02720059,HC VACUUM DRAINAGE SYSTEM WITH PORT,UNSPECIFIED,201.57,NONE
500064,GROSS CHARGE,NONE,02720065,HC BREAST BIOPSY STEREOTACTIC DEVICE,UNSPECIFIED,994.14,NONE
500064,GROSS CHARGE,L6695,02740001,HC HC ELBOW SOCKET USE W/O LCK,UNSPECIFIED,1488.09,NONE
500064,GROSS CHARGE,L6692,02740003,HC HC SILICONE GEL INSERT/EQL,UNSPECIFIED,1393.08,NONE
500064,GROSS CHARGE,L0120,02740004,CERVICAL FLEXIBLE NONADJUSTABLE,UNSPECIFIED,106.57,NONE
500064,GROSS CHARGE,L0160,02740005,HC CERV SEMI-RIGID WIRE FRAME OCCIP/MAND SUPPORT,UNSPECIFIED,405.72,NONE
500064,GROSS CHARGE,L0172,02740006,HC CERV COLLAR SEMI-RIGID THERMOPCERV COLLAR SEMI-R,UNSPECIFIED,341.52,NONE
500064,GROSS CHARGE,L0174,02740007,HC CERV COLLR SEMI-RIGD THERMOPLSTC W/THOR EXT,UNSPECIFIED,733.08,NONE
500064,GROSS CHARGE,L0200,02740008,HC CERV MX POST COLLR OCCIP/MAND ADJ CERV&THOR EXT,UNSPECIFIED,1621.98,NONE
500064,GROSS CHARGE,L0472,02740011,TLSO TRIPLANAR HYPREXT RIGD ANT&LAT FRME PRFAB,UNSPECIFIED,1219.43,NONE
500064,GROSS CHARGE,L0486,02740012,TLSO TRIPLANAR 2 PIECE W/INTERFCE LINER CSTM,UNSPECIFIED,5135.76,NONE
500064,GROSS CHARGE,L0490,02740013,TLSO SAGIT-CORONAL W/OVRLAP REINFORCED ANT PRFAB,UNSPECIFIED,692.04,NONE
500064,GROSS CHARGE,L0625,02740014,LUMBAR ORTHOTIC FLEXIBLE PREFABRICATED,UNSPECIFIED,128.52,NONE
500064,GROSS CHARGE,L0626,02740015,LUMBAR ORTHOTIC W/RIGID POST PANEL PREFAB,UNSPECIFIED,193.88,NONE
500064,GROSS CHARGE,L0627,02740016,LUMBAR ORTHOTIC RIGID ANT & POST PANEL PREFAB,UNSPECIFIED,1004.67,NONE
500064,GROSS CHARGE,L0628,02740017,LUMBAR-SCARAL ORTHOTIC FLEXIBLE PREFABRICATED,UNSPECIFIED,200.8,NONE
500064,GROSS CHARGE,L0633,02740018,LUMBAR-SACRAL ORTHOT RIGD POST FRAME/PANL PREFAB,UNSPECIFIED,707.45,NONE
500064,GROSS CHARGE,L0636,02740019,LSO LUMB FLEX RIGD POST FRAME/PANL CSTM FAB,UNSPECIFIED,3363.92,NONE
500064,GROSS CHARGE,L0637,02740020,LSO W/RIGID ANT & POST FRAME/PANEL PREFAB,UNSPECIFIED,2746.6,NONE
500064,GROSS CHARGE,L0710,02740021,HC CTLSO ANT-POST-LAT CNTRL MOLD PT-INTRFCE MATL,UNSPECIFIED,5615.96,NONE
500064,GROSS CHARGE,L0972,02740022,LSO CORSET FRONT,UNSPECIFIED,242.66,NONE
500064,GROSS CHARGE,L0984,02740023,PROTECTIVE BODY SOCK EACH,UNSPECIFIED,178.27,NONE
500064,GROSS CHARGE,L1685,02740025,HIP ORTHOS ABDCT CNTRL POSTOP HIP ABDCT CSTM,UNSPECIFIED,2923.53,NONE
500064,GROSS CHARGE,L1686,02740026,HIP ORTHOT ABDUCT CNTRL POSTOP HIP PRFAB-FIT&ADJ,UNSPECIFIED,2302.2,NONE
500064,GROSS CHARGE,L1810,02740028,KO ELASTIC W/JOINTS PREFAB INCLUDES FITTING&ADJ,UNSPECIFIED,312.0,NONE
500064,GROSS CHARGE,L1820,02740030,KO ELAST W/CONDYLR PADS&JNT PRFAB INCL FIT&ADJ,UNSPECIFIED,394.17,NONE
500064,GROSS CHARGE,L1830,02740032,KO IMMOBLIZR CANVAS LNGTUDNL PRFAB INCL FIT&ADJ,UNSPECIFIED,281.18,NONE
500064,GROSS CHARGE,L1832,02740033,KO ADJ KNEE JNT UNICENT/POLYCNT RIGD PREFAB,UNSPECIFIED,1512.09,NONE
500064,GROSS CHARGE,L1834,02740034,KO WITHOUT KNEE JOINT RIGID CUSTOM FABRICATED,UNSPECIFIED,1748.73,NONE
500064,GROSS CHARGE,L1840,02740035,KO DEROTATION MEDIAL-LATERAL ACL CUSTOM FAB,UNSPECIFIED,2488.27,NONE
500064,GROSS CHARGE,L1843,02740036,KNEE ORTHOSIS SINGLE UPRIGHT THIGH & CALF PREFAB,UNSPECIFIED,2191.68,NONE
500064,GROSS CHARGE,L1844,02740037,KO 1 UPRT THI&CALF ADJ UNICNT/POLYCNT CSTM FAB,UNSPECIFIED,4920.06,NONE
500064,GROSS CHARGE,L1845,02740038,KO DBL UPRT THI&CALF ADJ UNICNT/POLYCNT PREFAB,UNSPECIFIED,2200.68,NONE
500064,GROSS CHARGE,L1846,02740039,KO DBL UPRT THI&CALF ADJ UNICNT/POLYCNT CSTM FAB,UNSPECIFIED,2990.3,NONE
500064,GROSS CHARGE,L1850,02740040,KO SWEDISH TYPE PREFAB INCLUDES FIT & ADJ,UNSPECIFIED,760.1,NONE
500064,GROSS CHARGE,L1900,02740041,HC AFO SPRNG WIRE DORSIFLX ASST CALF BAND CSTM FAB,UNSPECIFIED,694.61,NONE
500064,GROSS CHARGE,L1902,02740043,HC ANKLE ORTH ANKLE GAUNT/SIM PREFAB OFF-THE-SHELF,UNSPECIFIED,234.96,NONE
500064,GROSS CHARGE,L1904,02740044,HC ANKLE ORTH ANKLE GAUNTLET/SIMILIAR CUSTOM FAB,UNSPECIFIED,1077.22,NONE
500064,GROSS CHARGE,L1906,02740045,HC ANK FT ORTHOS MX-LIG ANK SUPT PREFB OFF SHELF,UNSPECIFIED,281.18,NONE
500064,GROSS CHARGE,L1907,02740046,HC AFO SUPRAMALLEOLAR W/STRAPS CUSTOM FABRICATED,UNSPECIFIED,1445.71,NONE
500064,GROSS CHARGE,L1930,02740047,HC ANKLE FOOT ORTHOTIC PLASTIC/OTH MATL PREFAB,UNSPECIFIED,706.76,NONE
500064,GROSS CHARGE,L1932,02740048,HC AFO RIGD ANT TIBL TOT CARB FIBER/EQUL MATL PRFAB,UNSPECIFIED,2001.7,NONE
500064,GROSS CHARGE,L1940,02740049,HC ANK FT ORTHOTIC PLASTIC/OTH MATERIAL CUSTOM FAB,UNSPECIFIED,1350.71,NONE
500064,GROSS CHARGE,L1945,02740050,HC AFO MOLD PT MDL PLSTC RIGD ANT TIBL SECT CSTM,UNSPECIFIED,2846.49,NONE
500064,GROSS CHARGE,L1960,02740051,HC AFO POSTERIOR SOLID ANK PLASTIC CUSTOM FAB,UNSPECIFIED,1357.8,NONE
500064,GROSS CHARGE,L1970,02740052,HC AFO PLASTIC WITH ANKLE JOINT CUSTOM FABRICATED,UNSPECIFIED,1853.26,NONE
500064,GROSS CHARGE,L1990,02740053,HC AFO DBL UPRT PLANTR DORSIFLX SOLID STIRUP CSTM,UNSPECIFIED,1457.98,NONE
500064,GROSS CHARGE,L2005,02740054,KAFO ANY MATL AUTO LOCK&SWNG RLSE W/ANK JNT CSTM,UNSPECIFIED,9999.32,NONE
500064,GROSS CHARGE,L2020,02740055,KAFO DBL UPRT SOLID STIRUP THI&CALF CSTM FAB,UNSPECIFIED,3639.98,NONE
500064,GROSS CHARGE,L2036,02740056,KAFO FULL PLASTIC DOUBLE UPRIGHT CSTM FAB,UNSPECIFIED,6851.1,NONE
500064,GROSS CHARGE,L2037,02740057,KAFO FULL PLASTIC  SINGLE UPRIGHT CUSTOM FAB,UNSPECIFIED,4617.04,NONE
500064,GROSS CHARGE,L2106,02740058,HC AFO FX ORTHOTIC TIB FX CAST THERMOPLSTC CSTM FAB,UNSPECIFIED,1639.59,NONE
500064,GROSS CHARGE,L2108,02740059,HC AFO FX ORTHOTIC TIB FX CAST ORTHOSIS CSTM FAB,UNSPECIFIED,3107.13,NONE
500064,GROSS CHARGE,L2116,02740060,HC AFO TIB FX ORTHOTIC RIGID PRFAB W/FIT & ADJ,UNSPECIFIED,1941.32,NONE
500064,GROSS CHARGE,L2126,02740061,KAFO FEM FX CAST ORTHOTIC THERMOPLSTC CSTM FAB,UNSPECIFIED,2800.27,NONE
500064,GROSS CHARGE,L2128,02740062,KAFO FX ORTHOTIC FEM FX CAST ORTHOSIS CSTM FAB,UNSPECIFIED,5349.31,NONE
500064,GROSS CHARGE,L2132,02740063,KAFO FEM FX CAST ORTHOTIC SFT PRFAB W/FIT & ADJ,UNSPECIFIED,1886.11,NONE
500064,GROSS CHARGE,L2180,02740064,HC ADD LW EXTRM FX ORTHOT PLSTC SHOE INSRT ANK JNT,UNSPECIFIED,317.06,NONE
500064,GROSS CHARGE,L2182,02740065,HC ADD LOW EXTREM FX ORTHOTIC DROP LOCK KNEE JOINT,UNSPECIFIED,251.65,NONE
500064,GROSS CHARGE,L2188,02740066,HC ADD LOW EXTREM FRACTURE ORTHOTIC QUADRILAT BRIM,UNSPECIFIED,760.1,NONE
500064,GROSS CHARGE,L2192,02740067,HC ADD LW EXT ORTHOTIC HIP JNT THI FLNGE&PELV BELT,UNSPECIFIED,835.85,NONE
500064,GROSS CHARGE,L2200,02740068,HC ADDITION LOWER EXTREMITY LTD ANK MOTION EA JOINT,UNSPECIFIED,164.26,NONE
500064,GROSS CHARGE,L2210,02740069,HC ADDITION LOWER EXTREM DORSIFLEX ASSIST EA JOINT,UNSPECIFIED,205.43,NONE
500064,GROSS CHARGE,L2220,02740070,HC ADD LW EXTRM DORSIFLX&PLANTR ASST/RSIST EA JNT,UNSPECIFIED,233.76,NONE
500064,GROSS CHARGE,L2230,02740071,HC ADD LW EXTRM SPLIT FLAT CALIPRR STIRRUPS & PLATE,UNSPECIFIED,219.56,NONE
500064,GROSS CHARGE,L2232,02740072,HC ADD LOW EXT ORTHOS ROCKR BOTTOM TOT CNTC CSTM,UNSPECIFIED,243.95,NONE
500064,GROSS CHARGE,L2250,02740073,HC ADD LOW EXTREM FT PLATE MOLD PT MDL STIRUP ATTCH,UNSPECIFIED,1166.38,NONE
500064,GROSS CHARGE,L2260,02740074,HC ADDITION LOWER EXTREM REINFORCED SOLID STIRRUP,UNSPECIFIED,468.64,NONE
500064,GROSS CHARGE,L2265,02740075,HC ADDITION TO LOWER EXTREMITY LONG TONGUE STIRRUP,UNSPECIFIED,320.99,NONE
500064,GROSS CHARGE,L2270,02740076,HC ADD LW EXT VARUS/VALGUS CORR STRAP PAD/LINE PAD,UNSPECIFIED,206.72,NONE
