LAST UPDATED: 6/10/2021,Code Type,Code,Category,Description,Charges,Self-Pay Rate
,CPTHCPCS,,SURGICAL SERVICES,NEURO ABLATION VISUALASE SUPPLY PCKG,23359.4,17519.55
,CPTHCPCS,,SURGICAL SERVICES,TISSUE EXPANDER SMOOTH 04I,4370,3277.5
,CPTHCPCS,,SURGICAL SERVICES,TISSUE EXPANDER SMOOTH 05I,4370,3277.5
,CPTHCPCS,,SURGICAL SERVICES,VALVE MITRAL EPIC 31MM,12500,9375
,CPTHCPCS,,SURGICAL SERVICES,SYNCARDIA TOTAL ARTIFICAL HRT,187050,140287.5
,CPTHCPCS,,SURGICAL SERVICES,GRAFT GORETEX VASCULAR 4-7MM,4605,3453.75
,CPTHCPCS,,SURGICAL SERVICES,PEDIMAG BLOOD PUMP,15000,11250
,CPTHCPCS,,SURGICAL SERVICES,GRAFT GORETEX RING 8MM X 40CM,5306.3,3979.73
,CPTHCPCS,,RADIOLOGY,GUIDEWIRE .030UN X 140CM,200,150
,CPTHCPCS,,RADIOLOGY,GI TUBE MIC TRANSGASTRIC 18FR 45CM,1520,1140
,CPTHCPCS,,SURGICAL SERVICES,VALVE AORTIC MASTERS HP 19MM,14240,10680
,CPTHCPCS,,SURGICAL SERVICES,VALVE AORTIC MASTERS HP 21MM,14240,10680
,CPTHCPCS,,SURGICAL SERVICES,VALVE AORTIC MASTERS HP 23MM,14240,10680
,CPTHCPCS,,SURGICAL SERVICES,VALVE AORTIC MASTERS HP 25MM,14240,10680
,CPTHCPCS,,SURGICAL SERVICES,VALVE AORTIC MASTERS HP 27MM,14240,10680
,CPTHCPCS,,SURGICAL SERVICES,VALVE AORTIC MASTERS HP 29MM,14240,10680
,CPTHCPCS,,RADIOLOGY,NEEDLE BX TEMNO 18G,281.7,211.28
,CPTHCPCS,,SURGICAL SERVICES,VALVE CONDUIT HANCOCK 25MM STD,14250,10687.5
,CPTHCPCS,,RADIOLOGY,EMBO LIQUID HISTOACRYL,76.3,57.23
,CPTHCPCS,,RADIOLOGY,MIC-KEY LOW PROFILE TUBE 16FR 22CM,1520,1140
,CPTHCPCS,,RADIOLOGY,MIC-KEY LOW PROFILE TUBE 16FR 30CM,1520,1140
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 16FR 2.7 30CM J,1520,1140
,CPTHCPCS,,SURGICAL SERVICES,GRAFT DESCEND THORACIC AORTA,17835,13376.25
,CPTHCPCS,,RADIOLOGY,COIL HELIX 2MM 4CM,2493.8,1870.35
,CPTHCPCS,,SURGICAL SERVICES,GRAFT TISSUE PULMONARY THIN,16748.4,12561.3
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 18FR 3.5CM 45CM,1520,1140
,CPTHCPCS,,RADIOLOGY,GUIDEWIRE AMPLATZ SS 145CM,120,90
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT MALAR MEDPOR SM LFT 64X19X3MM,1939.9,1454.93
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT MEDPOR 4.5MM SM RT DESIGN M MALAR,1939.9,1454.93
,CPTHCPCS,,SURGICAL SERVICES,EXPANDER TISSUE INT 3 X 4CM,4370,3277.5
,CPTHCPCS,,SURGICAL SERVICES,EXPANDER TISSUE INT 3 X 5CM,4370,3277.5
,CPTHCPCS,,SURGICAL SERVICES,EXPANDER TISSUE INT 4 X 6CM,4370,3277.5
,CPTHCPCS,,SURGICAL SERVICES,EXPANDER TISSUE INT 4 X 8CM,4370,3277.5
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT MEDPOR HELICAL RIM LFT,2660.1,1995.08
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT MEDPOR EAR BASE EXT LFT,3853.8,2890.35
,CPTHCPCS,,RADIOLOGY,NEEDLE BX US 10G X 118MM,1235,926.25
,CPTHCPCS,,SURGICAL SERVICES,SCAFFOLD TISSUE CARDIOCEL 5X8,5418.8,4064.1
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT MEDPOR RAMUS LFT E-5,2803.5,2102.63
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT MEDPOR RAMUS LFT ES-5,2803.5,2102.63
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT MEDPOR RAMUS LFT ES-10,2803.5,2102.63
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT MEDPOR RAMUS RT ES-5,2803.5,2102.63
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT MEDPOR 7.5MM LG LFT,2346.6,1759.95
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT MEDPOR 7.5MM LG RT,2346.6,1759.95
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT TF2 MEDPOR MED LFT,5211.3,3908.48
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT TF2 MEDPOR LG LFT,6923.9,5192.93
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT TF2 MEDPOR LG RT,5665.8,4249.35
,CPTHCPCS,,SURGICAL SERVICES,ROD MAGEC STD 6.0X70MM,26250,19687.5
,CPTHCPCS,,RADIOLOGY,TUBE MICKEY GJ 16FR 45CM,1520,1140
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT TF2 MEDPOR MED RT,5211.3,3908.48
,CPTHCPCS,,SURGICAL SERVICES,NEURO ABLATION VISUALASE SUPPLY PCKG T3,8086,6064.5
,CPTHCPCS,,SURGICAL SERVICES,POREX BLOCK 38 X 63 X 3MM,4669.5,3502.13
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT MEDPOR MANDIBULAR LFT,3395.3,2546.48
,CPTHCPCS,,SURGICAL SERVICES,VALVE PROSA VENT 4.5MM 1.8CM,11781.9,8836.43
,CPTHCPCS,,RADIOLOGY,IR GI TUBE JEJUNAL 16FR 1.5CM 30CM,2080.5,1560.38
,CPTHCPCS,,CENTRAL SERVICES,TUBE FEEDING AMT 18FR 4.0CM,425,318.75
,CPTHCPCS,,SURGICAL SERVICES,FEMUR TROCH 10.7X275MM 10DEG,29339.6,22004.7
,CPTHCPCS,,SURGICAL SERVICES,TISSUE CARDIOCEL NEO 5X8,6375,4781.25
,CPTHCPCS,,SURGICAL SERVICES,TISSUE CARDIOCEL NEO 4X4,5250,3937.5
,CPTHCPCS,,RADIOLOGY,TUBE JEJUNAL 16FR 4.0X45CM LOW,2080.5,1560.38
,CPTHCPCS,,SURGICAL SERVICES,DISTRACTOR HALO CUSTOM EXT,52500,39375
,CPTHCPCS,,SURGICAL SERVICES,PULMONARY HEMI ARTERY LEFT,13264,9948
,CPTHCPCS,,RADIOLOGY,INZONE SYSTEM DETACHMENT DISP,1068.8,801.6
,CPTHCPCS,,SURGICAL SERVICES,IR COIL TARGET 360ULTRA2MMX3CM,7745.7,5809.28
,CPTHCPCS,,SURGICAL SERVICES,SEGMENT TAPERED OSS 7CM,19431,14573.25
,CPTHCPCS,,SURGICAL SERVICES,SEGMENT TAPERED OSS 13CM,22038.8,16529.1
,CPTHCPCS,,SURGICAL SERVICES,MOD SEG OSS RS 7CM FMR LT,15032.3,11274.23
,CPTHCPCS,,SURGICAL SERVICES,BUSHING PLOY OSS RS FEM,2689,2016.75
,CPTHCPCS,,SURGICAL SERVICES,AXLE OSS RS,2907,2180.25
,CPTHCPCS,,SURGICAL SERVICES,PLATE OSS NON-MOD SHORT 71MM,16895.1,12671.33
,CPTHCPCS,,SURGICAL SERVICES,BEARING TIBIAL OSS RS 12MM LS,4788.9,3591.68
,CPTHCPCS,,SURGICAL SERVICES,SPINDLE ANTI-ROT SC 30MM 600LB,12602.1,9451.58
,CPTHCPCS,,SURGICAL SERVICES,PIN OSS COMPRESS TRANS 24MM,2650.3,1987.73
,CPTHCPCS,,SURGICAL SERVICES,PIN OSS COMPRESS TRANS 28MM,2650.3,1987.73
,CPTHCPCS,,SURGICAL SERVICES,SLEEVE OSS COMPRESS CENTER16MM,2398.3,1798.73
,CPTHCPCS,,SURGICAL SERVICES,PLUG ANCHOR CPS SHORT 14MM,5450.7,4088.03
,CPTHCPCS,,SURGICAL SERVICES,CAP SCREW COMPRESS TAPER LOCK,3633.8,2725.35
,CPTHCPCS,,RADIOLOGY,TUBE MIC-KEY 18FR 2.7CM 45CM,1520,1140
,CPTHCPCS,,SURGICAL SERVICES,MEMBRANE PERICARDIAL 8X16CM,2983,2237.25
,CPTHCPCS,,SURGICAL SERVICES,MEMBRANE PERICARDIAL 15X20CM,5223.8,3917.85
,CPTHCPCS,,SURGICAL SERVICES,CLIP ANEURYSM CURVED 5.2MM,1853,1389.75
,CPTHCPCS,,SURGICAL SERVICES,ALLOGRAFT CERVICAL WHOLE 12X14.5MM,3946,2959.5
,CPTHCPCS,,SURGICAL SERVICES,COIL TARGET360 NANO 2MMX4CM,7745.7,5809.28
,CPTHCPCS,,SURGICAL SERVICES,COIL TARGET360 NANO 3.5MMX6CM,7745.7,5809.28
,CPTHCPCS,,SURGICAL SERVICES,COIL TARGET360 ULTRA 3.5MMX8CM,7745.7,5809.28
,CPTHCPCS,,SURGICAL SERVICES,COIL TARGET 360 ULTRA 3MMX10CM,7745.7,5809.28
,CPTHCPCS,,SURGICAL SERVICES,COIL TARGET 360 ULTRA 3MMX8CM,7745.7,5809.28
,CPTHCPCS,,SURGICAL SERVICES,COIL TARGET 360 ULTRA 4MMX8CM,7745.7,5809.28
,CPTHCPCS,,SURGICAL SERVICES,COIL TARGET HELIC 2MMX4CM,5062.5,3796.88
,CPTHCPCS,,SURGICAL SERVICES,COIL TARGET HELIC 2MMX6CM,5062.5,3796.88
,CPTHCPCS,,SURGICAL SERVICES,COIL TARGET HELIC 3MMX6CM,5062.5,3796.88
,CPTHCPCS,,SURGICAL SERVICES,COIL TARGET HELIC 2.5MMX4CM,5062.5,3796.88
,CPTHCPCS,,SURGICAL SERVICES,COIL TARGET HELIC 2.5MMX6CM,5062.5,3796.88
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT SPHERE 14MM,2567.6,1925.7
,CPTHCPCS,,SURGICAL SERVICES,SPACER RISE 10X20MM 8-15MM,16875,12656.25
,CPTHCPCS,,RADIOLOGY,INTRODUCER MICROEZ 6FR,2470,1852.5
,CPTHCPCS,,SURGICAL SERVICES,ARTHREX ANGEL BONE MARROW CONCENTRATE,4655,3491.25
,CPTHCPCS,,SURGICAL SERVICES,SPACER CONCORDE LIFT 9X21MM,15750,11812.5
,CPTHCPCS,,SURGICAL SERVICES,ROD MAGEC OFFSET 6.0X70MM,26250,19687.5
,CPTHCPCS,,SURGICAL SERVICES,WEDGE ENOPHTHALMOS 22X31X7MM,2512.8,1884.6
,CPTHCPCS,,RADIOLOGY,TUBE JEJUNAL 14FR 1.2X22CM LOW,2080.5,1560.38
,CPTHCPCS,,SURGICAL SERVICES,SPACER T-PAL 10X 28X9MM 5DEG,15750,11812.5
,CPTHCPCS,,CATH LAB,CATH MICRO CORSAIR PRO 135CM,4037.5,3028.13
,CPTHCPCS,,SURGICAL SERVICES,GELFILM OPHTH GEL,997.1,747.83
,CPTHCPCS,,RADIOLOGY,INTRODUCER PINNACLE 9FR 10CM,130.5,97.88
,CPTHCPCS,,RADIOLOGY,GUIDEWIRE SEPARATOR 3 INDIGO,3396.3,2547.23
,CPTHCPCS,,RADIOLOGY,GUIDEWIRE SEPARATOR 5 INDIGO,3396.3,2547.23
,CPTHCPCS,,RADIOLOGY,GUIDEWIRE SEPARATOR 8 INDIGO,7050,5287.5
,CPTHCPCS,,RADIOLOGY,CATH GUIDE VISTA BRITE 7FR 55CM,390,292.5
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT PASSER BAND,1900,1425
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT CONNECTOR EVO5.5MM JAZZ,3800,2850
,CPTHCPCS,,SURGICAL SERVICES,IMPLANT PEEK CRANIAL 60-00-22-09,18750,14062.5
,CPTHCPCS,,RADIOLOGY,INTRODUCER SHEATH GLIDESHEATH 5FR,382.5,286.88
,CPTHCPCS,,RADIOLOGY,GI TUBE GJET 14FR 1.5X22CM,2080.5,1560.38
,CPTHCPCS,,SURGICAL SERVICES,VALVE AORTIC ONX 27-29MM,12750,9562.5
,CPTHCPCS,,RADIOLOGY,CATH PHENOM 027 15CM,5118.8,3839.1
,CPTHCPCS,,RADIOLOGY,CATH PHENOM PLUS 120CM,8081.3,6060.98
,CPTHCPCS,,RADIOLOGY,NEEDLE BX  14G 9.5CM,636.5,477.38
,CPTHCPCS,,RADIOLOGY,NEEDLE BX  15G 13CM,565.3,423.98
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 14FR-1.5CM 22CM,1748,1311
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 14FR-1.2CM 22CM,1748,1311
,CPTHCPCS,,RADIOLOGY,INTRODUCER SET PEELAWAY 18FR,190.3,142.73
,CPTHCPCS,,RADIOLOGY,INTRODUCER CHECK-FLO FLEXOR 5FR 90CM,541.5,406.13
,CPTHCPCS,,SURGICAL SERVICES,MESH POUCH N684444,425,318.75
,CPTHCPCS,,SURGICAL SERVICES,MESH POUCH N684497,425,318.75
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 14FR-1.7CM 22CM,1748,1311
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 14FR-2.0CM 22CM,1748,1311
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 14FR-1.0CM 22CM,1748,1311
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 16FR-1.0CM 15CM,1520,1140
,CPTHCPCS,,RADIOLOGY,CATH GUIDE 6FR 100CM,213.8,160.35
,CPTHCPCS,,RADIOLOGY,SHEATH INTRODUCER RAIN 10CM,275,206.25
,CPTHCPCS,,SURGICAL SERVICES,RESERVOIR CFS NEONATE 4CM,1914.1,1435.58
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 14FR-1.5M 15CM,1748,1311
,CPTHCPCS,,CATH LAB,CATH ANGIO BALL DUAL 3.5X8MM FLASH,3937.5,2953.13
,CPTHCPCS,,CATH LAB,CATH CUTTING BALLOON 4MMX10M,4512.5,3384.38
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 14FR 1.0CM 15CM,1748,1311
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 14FR-1.5CM 30CM,1748,1311
,CPTHCPCS,,RADIOLOGY,GI TUBE MICKEY 14FR-2.0CM 30CM,1748,1311
,CPTHCPCS,,SURGICAL SERVICES,VALVE AORTIC INSPIRIS 25MM,16500,12375
,CPTHCPCS,,SURGICAL SERVICES,VALVE AORTIC INSPIRIS 27MM,16500,12375
,CPTHCPCS,,RADIOLOGY,GUIDEWIRE VASCUPUNCTUREPCC HIGHPER,475,356.25
,CPTHCPCS,,RADIOLOGY,CATHETER ELLIPSYS VAS ACC SYST,15000,11250
,CPTHCPCS,,RADIOLOGY,SHEATH HYDROPHILIC INDUCER2.0MM,395,296.25
,CPTHCPCS,,CATH LAB,CATH BALL SC EUPHORA 2.5X15MM,570,427.5
,CPTHCPCS,,RADIOLOGY,COIL TARGET 360 ULTRA 3MMX4CM,7745.7,5809.28
,CPTHCPCS,,RADIOLOGY,COIL TARGET360 NANO 3MMX4CM,7745.7,5809.28
,CPTHCPCS,,RADIOLOGY,INTRODUCER RAIN SHEATH 6FR,1306.3,979.73
,CPTHCPCS,,SCCA,APHERESIS SCCA SUPPLY PKG,5946,4459.5
,CPTHCPCS,,LABORATORY,RAPID EXOME SEQUENCING,24646,18484.5
,CPTHCPCS,,LABORATORY,CLINIMACS CD34 SELECTION,40774.4,30580.8
,CPTHCPCS,,LABORATORY,CLINIMACS CD45RA DEPLETION,17376.6,13032.45
,CPTHCPCS,,LABORATORY,CLINIMACS CD34 2660 PROTOCOL,19344.7,14508.53
,CPTHCPCS,,LABORATORY,CLINIMACS CD34 2598 PROTOCOL,12585.7,9439.28
,CPTHCPCS,,LABORATORY,CLINIMACS CD34 2684,19344.7,14508.53
,CPTHCPCS,,ROOM CHARGES,ROOM ADMINISTRATIVE DAY RATE,6200,4650
,CPTHCPCS,,ROOM CHARGES,ROOM INTERMEDIATE NICU,14940,11205
,CPTHCPCS,,ROOM CHARGES,ROOM PSYCH ADMINISTRATIVE DAY,7630,5722.5
,CPTHCPCS,,ROOM CHARGES,RECOVERY EXTENDED PER HOUR,486,364.5
,CPTHCPCS,0001A,AMBULATORY,COVID-19 VACCINE ADMIN PFIZER; 1ST DOSE,40,0
,CPTHCPCS,0002A,AMBULATORY,COVID-19 VACCINE ADMIN PFIZER; 2ND DOSE,40,0
,CPTHCPCS,0026U,LABORATORY,THYROSEQ GENOMIC CLASSIFIER,3072.8,2304.6
,CPTHCPCS,0099U,LABORATORY,RESPIR PATHOGEN PCR 20 TARGETS,632.5,474.38
,CPTHCPCS,0319T,OPS,INSERT ICD LEADS/GEN SUBQ,40676.1,30507.08
,CPTHCPCS,0509T,AMBULATORY,ELECTRORETINOGRAPHY WITH I&R PATTERN,504.9,378.68
,CPTHCPCS,10004,AMBULATORY,FNA BIOPSY W/O GUIDANCE EACH ADDL LESION,392.1,294.08
,CPTHCPCS,10005,AMBULATORY,FNA BIOPSY W/ULTRASOUND GUIDANCE 1ST LESION,1333.5,1000.13
,CPTHCPCS,10005,RADIOLOGY,FNA US GUIDANCE 1ST LESION,3041.8,2281.35
,CPTHCPCS,10006,AMBULATORY,FNA BIOPSY W/ULTRASOUND GUIDANCE EACH ADDL LESION,908.2,681.15
,CPTHCPCS,10006,RADIOLOGY,FNA US GUIDANCE; EA ADD'L,1521,1140.75
,CPTHCPCS,10007,AMBULATORY,FNA BIOPSY W/FLUORO GUIDANCE 1ST LESION,1714.6,1285.95
,CPTHCPCS,10007,RADIOLOGY,FNA FL GUIDANCE; 1ST LESION,2297.9,1723.43
,CPTHCPCS,10008,AMBULATORY,FNA BIOPSY W/FLUORO GUIDANCE EACH ADDL LESION,1167.6,875.7
,CPTHCPCS,10008,RADIOLOGY,FNA FL GUIDANCE; EA ADD'L,1149,861.75
,CPTHCPCS,10009,RADIOLOGY,FNA CT GUIDANCE; 1ST LESION,4651.1,3488.33
,CPTHCPCS,10010,RADIOLOGY,FNA CT GUIDANCE; EA ADD'L LESION,2325.6,1744.2
,CPTHCPCS,10011,RADIOLOGY,FNA MR GUIDANCE; 1ST LESION,5709.8,4282.35
,CPTHCPCS,10012,RADIOLOGY,FNA MR GUIDANCE; EA ADD'L LESION,2854.9,2141.18
,CPTHCPCS,10021,AMBULATORY,FNA BIOPSY W/O GUIDANCE 1ST LESION,504,378
,CPTHCPCS,10021,OPS,FINE NEEDLE ASPIRATION W/O IMAGE,1000,750
,CPTHCPCS,10030,RADIOLOGY,IR DRAIN SOFT TISSUE W/IMAGE GUIDANCE,4557.7,3418.28
,CPTHCPCS,10035,RADIOLOGY,"LOCALIZATION DEVICE, SOFT TISSUE",2643.3,1982.48
,CPTHCPCS,10040,AMBULATORY,ACNE SURGERY,272.6,204.45
,CPTHCPCS,10060,AMBULATORY,I&D ABSCESS SIMPLE OR SINGLE,742,556.5
,CPTHCPCS,10061,AMBULATORY,I&D ABSCESS COMPL/MULTIPLE,1205.3,903.98
,CPTHCPCS,10080,AMBULATORY,INCISION & DRAINAGE PILONIDAL CYST SIMPLE,324.5,243.38
,CPTHCPCS,10120,AMBULATORY,"INCS & REMOVE FB,SUBQ TISSUE, SIMPLE",889.2,666.9
,CPTHCPCS,10120,OPS,"REMOVE FOREIGN BODY, SIMPLE",1500,1125
,CPTHCPCS,10121,AMBULATORY,INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL,1671.1,1253.33
,CPTHCPCS,10140,AMBULATORY,I&D HEMATOMA/SEROMA/FLUID COLLECTION,3434.3,2575.73
,CPTHCPCS,10140,RADIOLOGY,I&D HEMATOMA/SEROMA/FLUID COLLECTION,3759.5,2819.63
,CPTHCPCS,10160,AMBULATORY,PUNCT ASP ABSCESS/HEMATOMA/BULLA/CYST,611.9,458.93
,CPTHCPCS,10160,SHARED,PUNCTURE DRAIN OF LESION,1040,780
,CPTHCPCS,10180,AMBULATORY,I&D CMPLX POST-OP WOUND INFECT,1393,1044.75
,CPTHCPCS,11010,SURGICAL SERVICES,MAST PROC DEBRIDE SKIN AT FX SITE,2100,1575
,CPTHCPCS,11012,AMBULATORY,DBRDMT FX&/DISLC SUBQ T/M/F BONE,900,675
,CPTHCPCS,11042,AMBULATORY,DEBRIDEMENT SQ TISSUE FIRST 20SQ CM,661.6,496.2
,CPTHCPCS,11043,AMBULATORY,DEBRIDEMENT MUSCLE/FASCIA 20SQ CM,992.9,744.68
,CPTHCPCS,11044,AMBULATORY,DEBRIDE TISSUE/MUSCLE/BONE,3326.4,2494.8
