Chargecode,Description,CPT/HCPCS,Fee
0236T,TRLUML PERIP ATHRC ABD AORTA - FAC,0236T,"30,985.00"
0237T,"TRLUML PERIP ATHRC BRCHIOCPH, EA VESSEL - FAC",0237T,"30,985.00"
0238T,"TRLUML PERIP ATHRC ILIAC ART, EA VESSEL - FAC",0238T,"47,229.00"
0241U,NFCT DS VIR RESP RNA 4 TRGT,0241U,373.00
0253T,INSERT AQUEOUS DRAIN DEVICE - FAC,0253T,"10,645.00"
0263T,IM B1 MRW CEL THER CMPL,0263T,"14,205.00"
0264T,IM B1 MRW CEL THER XCL HRVST,0264T,"14,205.00"
0265T,IM B1 MRW CEL THER HRVST ONL,0265T,"14,205.00"
0266T,IMPLT/RPL CRTD SNS DEV TOTAL,0266T,"13,643.00"
0267T,IMPLT/RPL CRTD SNS DEV LEAD,0267T,"10,429.00"
0268T,IMPLT/RPL CRTD SNS DEV GEN,0268T,"54,152.00"
0269T,REV/REMVL CRTD SNS DEV TOTAL,0269T,"13,643.00"
0270T,REV/REMVL CRTD SNS DEV LEAD,0270T,"8,489.00"
0271T,REV/REMVL CRTD SNS DEV GEN,0271T,"8,489.00"
0272T,INTERROGATE CRTD SNS DEV,0272T,493.00
0273T,INTERROGATE CRTD SNS W/PGRMG,0273T,493.00
0274T,PERQ LAMOT/LAM CRV/THRC,0274T,"16,528.00"
0275T,PERQ LAMOT/LAM LUMBAR,0275T,"16,528.00"
0278T,TEMPR - FAC,0278T,402.00
0308T,INSJ OCULAR TELESCOPE PROSTH,0308T,"51,771.00"
0313T,LAPS RMVL NSTIM ARRAY VAGUS - FAC,0313T,"10,429.00"
0314T,LAPS RMVL VGL ARRY & PLS GEN - FAC,0314T,"8,489.00"
0315T,RMVL VAGUS NERVE PLS GEN - FAC,0315T,"8,489.00"
0316T,REPLC VAGUS NERVE PLS GEN - FAC,0316T,"54,152.00"
0317T,ELEC ALYS VAGUS NRV PLS GEN - FAC,0317T,104.00
0330T,TEAR FILM IMG UNI OR BILAT W INT AND REPORT,0330T,154.00
0331T,HEART SYMP IMAGE PLANAR,0331T,"4,452.00"
0332T,HEART SYMP IMAGE PLANAR SPECT,0332T,"4,452.00"
0335T,EXTRAOSSEOUS JOINT STBLZTION - FAC,0335T,"16,528.00"
0338T,TRNSCTH RENAL SYMP DENRV UNL - FAC,0338T,"14,991.00"
0339T,TRNSCTH RENAL SYMP DENRV BIL - FAC,0339T,"14,991.00"
0342T,THXP APHERESIS W/HDL DELIP - FAC,0342T,"14,205.00"
0347T,INS BONE DEVICE FOR RSA,0347T,388.00
0348T,RSA SPINE EXAM,0348T,380.00
0349T,RSA UPPER EXTR EXAM,0349T,380.00
0350T,RSA LOWER EXTR EXAM,0350T,380.00
0355T,GI TRACT CAPSULE INTRALUMINAL ENDOSCOPY,0355T,"4,208.00"
0356T,INSRT DRUG DEVICE FOR IOP,0356T,297.00
0358T,BIA WHOLE BODY,0358T,155.00
03617,PHYSICAL CAPACITIES EXAM (PCE),97799,384.00
0362T,EXPOSE BEHAV ASSESSMENT,0362T,298.00
03636,ELECTRICAL STIMULTION (UNATTENDED) BY OT,97014,72.00
03703,MASSAGE THERAPY BY OT,97124,122.00
03721,HOT OR COLD PACKS THERAPY BY OT,97010,34.00
03730,"WHEELCHAIR MANAGEMENT, EACH 15MINS",97542,118.00
03731,GROUP THERAPEUTIC PROCEDURE,97150,90.00
03736,"NEUROMUSCULAR REEDUCATION, EACH 15MINS",97112,113.00
03738,MYOFASCIAL RELEASE/SOFT TISSUE MOBILIZATION,97140,112.00
03739,"THERAPEUTIC  EXERCISES,EACH 15MIN",97110,110.00
0373T,EXPOSURE BEHAVIOR TREATMENT,0373T,441.00
03740,BIOFEEDBACK  TRAINING BY ANY MODALITY,90901,119.00
03742,"SENSORY  INTEG, DIRECT PATIENT CONTACT BY PROV, EA 15 MIN",97533,132.00
03743,"MANUAL THERAPY, ONE OR MORE REGIONS, EACH 15 MINS, SLP",97140,112.00
03745,"APPLIC  OF A MODALITY TO ONE OR MORE AREAS, ELEC STIMUL",97032,100.00
03750,"EVAL FOR RX OF NON-SPEECH GEN, W/PAT, 1ST HOUR BY ST",92607,405.00
03751,"EVAL FOR RX OF NON-SPEECH GEN, W/PAT, EA ADDL 30 MIN BY ST",92608,163.00
03752,"THERAPEUTIC SVCS, INCL PROGRAM & MODIF BY ST",92609,339.00
03754,"SELF CARE/HOME MANAGEMENT TRAINING, BY PT, EA 15MINS",97535,112.00
03755,"PHYSICAL PERFORMANCE TEST OR MEASURE, BY OT, EACH 15 MIN",97750,114.00
03756,"EVAL FOR USE AND/OR FITTING OF VOICE PROSTHETIC, BY ST",92597,251.00
03757,"APPLIC OF MODALITY TO ONE OR MORE AREAS, US, EACH BY OT",97035,66.00
03761,"ACTIVE WOUND CARE/20 CM OR LESS, BY PT",97597,639.00
03762,"ACTIVE WOUND CARE, EA ADDL 20 CM, OR PART - BY PT",97598,266.00
03763,"WOUND CARE NON-SELECTIVE, W/O ANESTH, PER SESSION, BY PT",97602,482.00
03764,"NEG PRESS WOUND TX, LESS THAN 50 CM, BY PT",97605,499.00
03765,"NEG PRESS WOUND TX, GREATER THAN 50 CM, BY PT",97606,917.00
03766,"THER IVNTJ, COG FUNCTION, W/CONTACT, OT, 1ST 15 MIN",97129,64.00
03767,"THER IVNTJ, COG FUNCTION, W/CONTACT, OT, EA ADDL 15 MIN",97130,61.00
03768,"THER IVNTJ, COG FUNCTION, W/CONTACT, SLP, 1ST 15 MIN",97129,64.00
03769,"THER IVNTJ, COG FUNCTION, W/CONTACT, SLP, EA ADDL 15 MIN",97130,61.00
03771,"ACTIVE WOUND CARE/20 CM OR LESS, BY OT",97597,639.00
03772,"ACTIVE WOUND CARE, EA ADDL 20 CM, OR PART - BY OT",97598,266.00
03773,"WOUND CARE NON-SELECTIVE, W/O ANESTH, PER SESSION, BY OT",97602,482.00
03774,"NEG PRESS WOUND TX, LESS THAN 50 CM, BY OT",97605,499.00
03775,"NEG PRESS WOUND TX, GREATER THAN 50 CM, BY OT",97606,917.00
03776,FLEX FIBEROPT ENDO EVAL OF SWALLOW (FEES) - BY SLP,92612,574.00
03777,"FLEX LARYNGOSCOPY,WITH STROBOSCOPYBY SLP",31579,"1,400.00"
03778,"SPEECH EVALUATION, COMPLEX - BY SLP",70371,726.00
03779,NASOPHARYNGOSCOPY W/ENDOSC - BY SLP,92511,594.00
03780,TEAM CONF W/PAT BY HC PRO - PT,99366,140.00
03781,TEAM CONF W/PAT BY HC PRO - OT,99366,140.00
03782,TEAM CONF W/PAT BY HC PRO - SLP,99366,140.00
03783,TEAM CONF W/O PAT BY HC PRO - PT,99368,140.00
03784,TEAM CONF W/O PAT BY HC PRO - OT,99368,140.00
03785,TEAM CONF W/O PAT BY HC PRO - SLP,99368,140.00
03786,COGNITIVE TEST BY HC PRO - BY OT,96125,356.00
03787,"VOICE BANKING, PER HOUR, BY SLP",92700,339.00
0379T,VIS FIELD ASSMNT TECH SUPPT - FAC,0379T,154.00
0394T,HDR ELCTRNC SKN SURF BRCHYTX - FAC,0394T,813.00
0395T,HDR ELCTR NTRST/NTRCV BRCHTX - FAC,0395T,"2,552.00"
04010,THERAPEUTIC ACTIVITIES EACH 15 MIN,97530,119.00
04012,COMMUNITY/WORK REINTEGRATION EACH 15 MIN,97537,114.00
0402T,COLLAGEN CROSSLINKING CORNEA - FAC,0402T,"5,340.00"
0404T,TRNSCRV UTERIN FIBROID ABLTJ - FAC,0404T,"18,536.00"
0408T,INSJ/RPLC CARDIAC MODULJ SYS - FAC,0408T,"65,182.00"
0409T,INSJ/RPLC CARDIAC MODULJ PLS - FAC,0409T,"65,182.00"
0410T,INSJ/RPLC CAR MODULJ ATR ELT - FAC,0410T,"21,730.00"
0411T,INSJ/RPLC CAR MODULJ VNT ELT - FAC,0411T,"21,730.00"
0412T,RMVL CARDIAC MODULJ PLS GEN - FAC,0412T,"8,455.00"
0413T,RMVL CAR MODULJ TRANVNS ELT - FAC,0413T,"8,455.00"
0414T,RMVL & RPL CAR MODULJ PLS GN - FAC,0414T,"65,182.00"
0415T,REPOS CAR MODULJ TRANVNS ELT - FAC,0415T,"2,375.00"
0416T,RELOC SKIN POCKET PLS GEN - FAC,0416T,"5,610.00"
0417T,PRGRMG EVAL CARDIAC MODULJ - FAC,0417T,112.00
0418T,INTERRO EVAL CARDIAC MODULJ - FAC,0418T,112.00
0419T,"DSTRJ NEUROFIBROMATA XTNSV, GT 50 - FAC",0419T,"1,749.00"
0420T,DSTRJ NEUROFIBROMATA XTNSV - FAC,0420T,"1,749.00"
0422T,TACTILE BREAST IMG UNI/BI - FAC,0422T,272.00
0423T,ASSAY SECRETORY TYPE II PLA2 - TECH,0423T,N/A
0424T,INSJ/RPLC NSTIM APNEA COMPL - FAC,0424T,"82,225.00"
0425T,INSJ/RPLC NSTIM APNEA SEN LD - FAC,0425T,"17,852.00"
0426T,INSJ/RPLC NSTIM APNEA STM LD - FAC,0426T,"54,152.00"
0427T,INSJ/RPLC NSTIM APNEA PLS GN - FAC,0427T,"54,152.00"
0428T,RMVL NSTIM APNEA PLS GEN - FAC,0428T,"8,489.00"
0429T,RMVL NSTIM APNEA SEN LD - FAC,0429T,"8,489.00"
0430T,RMVL NSTIM APNEA STIMJ LD - FAC,0430T,"8,489.00"
0431T,RMVL/RPLC NSTIM APNEA PLS GN - FAC,0431T,"54,152.00"
0432T,REPOS NSTIM APNEA STIMJ LD - FAC,0432T,"10,429.00"
0433T,REPOS NSTIM APNEA SENSING LD - FAC,0433T,"10,429.00"
0434T,INTERRO EVAL NPGS SLEEP APNE - FAC,0434T,426.00
0435T,PRGRMG EVAL NPGS APNEA 1 SES - FAC,0435T,426.00
0436T,PRGRMG EVAL NPGS APNEA STUDY - FAC,0436T,"3,306.00"
0440T,"ABLATION, PERC, CRYOABL, UPPER EXTREM/PERIPH NERVE",0440T,"13,643.00"
0441T,"ABLATION, PERC, CRYOABL, LOWER EXTREM/PERIPH NERVE",0441T,"13,643.00"
0442T,"ABLATION, PERC, CRYOABL, PLEXUS/TRUNCAL NERVE",0442T,"13,643.00"
0443T,REAL TIME SPECTRAL ANALYSIS OF PROSTATE TISSUE,0443T,"3,998.00"
0446T,INSJ IMPLTBL GLUCOSE SENSOR,0446T,"1,749.00"
0447T,RMVL IMPLTBL GLUCOSE SENSOR - FAC,0447T,499.00
0448T,REMVL INSJ IMPLTBL GLUC SENS - FAC,0448T,"1,749.00"
0449T,INSJ AQUEOUS DRAIN DEV 1ST - FAC,0449T,"10,645.00"
0450T,INSJ AQUEOUS DRAIN DEV EACH ADDL - FAC,0450T,"1,850.00"
0453T,INSJ/RPLCMT MECH-ELEC NTRFCE - FAC,0453T,"21,730.00"
0454T,INSJ/RPLCMT SUBQ ELECTRODE - FAC,0454T,"21,730.00"
0457T,REMVL MECH-ELEC SKIN NTRFCE - FAC,0457T,"8,455.00"
0458T,REMVL SUBQ ELECTRODE - FAC,0458T,"8,455.00"
0460T,REPOS AORTIC VENTR DEV ELTRD - FAC,0460T,"11,337.00"
0462T,PRGRMG EVAL AORTIC VENTR SYS - FAC,0462T,"1,016.00"
0463T,INTERROG AORTIC VENTR SYS - FAC,0463T,"1,016.00"
0464T,VISUAL EP TEST FOR GLAUCOMA,0464T,493.00
0465T,SUPCHRDL NJX RXW/O SUPPLY - FAC,0465T,"1,057.00"
0466T,INSJ CHWAL RESPIR ELTRD/RA - FAC,0466T,"6,990.00"
0467T,REVJ/RPLMNT CH RESPIR ELTRD - FAC,0467T,"8,489.00"
0468T,RMVL CHWAL RESPIR ELTRD/RA - FAC,0468T,"8,489.00"
0470T,OCT SKN IMG ACQUISJ I&R 1ST - TECH,0470T,N/A
0471T,OCT SKN IMG ACQUISJ I&R ADDL - TECH,0471T,N/A
0472T,PRGRMG IO RTA ELTRD RA - FAC,0472T,773.00
0473T,REPRGRMG IO RTA ELTRD RA - FAC,0473T,340.00
0474T,INSJ AQUEOUS DRG DEV IO RSVR - FAC,0474T,"13,218.00"
0476T,REC FTL CAR SGL ELEC TR DATA - FAC,0476T,310.00
0477T,REC FTL CAR SGL XRTJ ALYS - FAC,0477T,310.00
0479T,FXJL ABL LSR 1ST 100 SQ CM - FAC,0479T,"1,138.00"
0480T,FXJL ABL LSR EA ADDL 100SQCM - FAC,0480T,569.00
0481T,NJX AUTOL WBC CONCENTRATE - FAC,0481T,973.00
0485T,OCT MID EAR I&R UNILATERAL - TECH,0485T,94.00
0486T,OCT MID EAR I&R BILATERAL - TECH,0486T,94.00
0487T,TRVG BIOMCHN MAPG W/REPRT - FAC,0487T,310.00
0491T,ABL LSR OPN WND 1ST 20 SQCM - FAC,0491T,"1,138.00"
0492T,ABL LSR OPN WND ADDL 20 SQCM - FAC,0492T,569.00
0497T,XTRNL PT ACT ECG IN-OFF CONN,0497T,112.00
0500T,HPV 5+ HI RISK HPV TYPES - TECH,0500T,N/A
0502T,COR FFR DATA PREP & TRANSMIS,0502T,310.00
0503T,COR FFR ALYS GNRJ FFR MDL,0503T,"4,277.00"
0505T,EV FEMPOP ARTL REVSC - FAC,0505T,"30,985.00"
0506T,MAC PGMT OPT DNS MEAS HFP - TECH,0506T,165.00
0507T,NEAR IFR 2IMG MIBMN GLND I&R - TECH,0507T,165.00
0508T,PLS ECHO US B1 DNS MEAS TIB - TECH,0508T,340.00
0509T,PATTERN ERG W/I&R - TECH,0509T,493.00
0510T,RMVL SINUS TARSI IMPLANT - FAC,0510T,"6,905.00"
0511T,RMVL&RINSJ SINUS TARSI IMPLT - FAC,0511T,"6,251.00"
0512T,ESW INTEG WND HLG 1ST WND - FAC,0512T,"1,138.00"
0513T,ESW INTEG WND HLG EA ADDL - FAC,0513T,569.00
0515T,INSJ WCS LV COMPL SYS - FAC,0515T,"24,124.00"
0516T,INSJ WCS LV ELTRD ONLY - FAC,0516T,"8,121.00"
0517T,INSJ WCS LV PG COMPNT - FAC,0517T,"8,121.00"
0518T,RMVL PG COMPNT WCS - FAC,0518T,"11,337.00"
0519T,RMVL & RPLCMT PG COMPNT WCS - FAC,0519T,"11,337.00"
0520T,RMVL&RPLCMT PG WCS NEW ELTRD - FAC,0520T,"24,124.00"
05210,"INJ, MMRV VACC LIVE SUBCUTANEOUS USE, PER DOSE (NON STATE)",90710,443.82
05211,"INJ, VACC DTAP-HEPB-IPV (PEDIARIX), PER DOSE (NON STATE)",90723,221.43
0521T,INTERROG DEV EVAL WCS IP - TECH,0521T,46.00
0522T,PRGRMG DEV EVAL WCS IP - TECH,0522T,98.00
0524T,EV CATH DIR CHEM ABLTJ W/IMG - FAC,0524T,"9,566.00"
0525T,INSJ/RPLCMT COMPL IIMS - FAC,0525T,"10,835.00"
0526T,INSJ/RPLCMT IIMS ELTRD ONLY - FAC,0526T,"8,121.00"
0527T,INSJ/RPLCMT IIMS IMPLT MNTR - FAC,0527T,"8,121.00"
0528T,PRGRMG DEV EVAL IIMS IP - TECH,0528T,98.00
0529T,INTERROG DEV EVAL IIMS IP - TECH,0529T,98.00
0530T,REMOVAL COMPLETE IIMS - FAC,0530T,"6,504.00"
0531T,REMOVAL IIMS ELECTRODE ONLY - FAC,0531T,"6,504.00"
0532T,REMOVAL IIMS IMPLT MNTR ONLY - FAC,0532T,"6,504.00"
0534T,CONT REC MVMT DO SETUP&TRAIN,0534T,98.00
0535T,CONT REC MVMT DO REPRT CNFIG,0535T,98.00
0540T,CAR-T CLL ADMN AUTOLOGOUS - FAC,0540T,"1,045.00"
0541T,MYOCARDIAL IMAGING MCG,0541T,N/A
05452,"INJ, POLIOVIRUS VACC INACT IPV SC USE, PER VAC (NON STATE)",90713,60.87
05476,"INJ, MMR VACC LIVE SUBCUTANEOUS USE, PER DOSE (NON STATE)",90707,209.64
05480,"INJ, DTAP VAC FOR LESS THAN 7 YEARS, PER DOSE (NON STATE)",90700,68.16
05481,"INJ, HEP B VACC PED/ADOL 3 DOSE SCHD, PER DOSE NON STATE",90744,69.60
05486,"INJ, VARICELLA VACC LIVE SC USE, PER DOSE (NON STATE)",90716,360.57
0548T,TPRNL BALO CNTNC DEV BI,0548T,"8,837.00"
0549T,TPRNL BALO CNTNC DEV UNI - FAC,0549T,"4,635.00"
0550T,TPRNL BALO CNTNC DEV RMVL EA - FAC,0550T,"3,307.00"
0551T,TPRNL BALO CNTNC DEV ADJMT - FAC,0551T,839.00
0555T,B1 STR&FX RSK TRANSMIS DATA,0555T,61.00
0556T,B1 STR & FX RSK ASSESSMENT,0556T,835.00
0558T,CT SCAN F/BIOMCHN CT ALYS - FAC,0558T,210.00
0559T,ANTMC MDL 3D PRINT 1ST CMPNT - FAC,0559T,145.00
0560T,ANTMC MDL 3D PRINT EA ADDL - FAC,0560T,73.00
0561T,ANTMC GUIDE 3D PRINT 1ST GD - FAC,0561T,145.00
05620,"INJ, MENINGOCOCCAL RP W/OMV IM, PER VACCINE (NON-STATE)",90620,461.16
05621,"INJ, MENB RLP VAC SEROGROUP B 3 DOSE, PER VAC NON-STATE",90621,373.17
0562T,ANTMC GUIDE 3D PRINT EA ADDL - FAC,0562T,73.00
05633,"INJ, HEP A VACC PED DOSE IM USE, PER VAC (NON-STATE)",90633,90.15
0563T,EVAC MEIBOMIAN GLND HEAT BI - FAC,0563T,145.00
05648,"HEMOPHILUS INFLUENZA B VACC (HIB), PRP-T CONJUGATE",90648,29.88
0564T,ONC CHEMO RX CYTOTOX CSC 14 - TECH,0564T,217.00
05651,"INJ, HPV VIRUS VACCINE 9 VAL IM, PER DOSE (NON-STATE)",90651,618.06
0565T,AUTOL CELL IMPLT ADPS HRVG - FAC,0565T,145.00
0566T,AUTOL CELL IMPLT ADPS NJX - FAC,0566T,689.00
05670,"INJ, PNEUMOCOCCAL VACC 13 VAL IM USE, PER DOSE (NON STATE)",90670,564.66
05680,"ORAL, ROTOVIRUS VACCINE 3 DOSE SCHEDULE, PER VAC NON STATE",90680,217.65
05686,"INJ, FLU VAC, QUAD, SPLIT VIRUS, PF, GE 3YRS, IM(NON-STATE)",90686,25.00
05696,"INJ, DTAP-IPV VACC 4-6 YR FOR IM USE, PER DOSE (NON STATE)",90696,143.37
05698,"INJ, DTAP-IPV/HIB VACCINE FOR IM USE, PER DOSE (NON STATE)",90698,181.26
05732,"INJ, PNEMOL VAC 23 VAL ADULT DOSE 2YR OR OLDER, NON STATE",90732,285.15
05734,"INJ, MENINGOCOCCAL CONJUGATE 4 VAL, PER DOSE NON STATE",90734,281.49
05746,"INJ, HEP B VACC, ADULT 3 DOSE SCHD, PER DOSE (NON STATE)",90746,142.44
05765,"INJ, TDAP VACC GREATER THAN 7 SC USE, PER DOSE (NON STATE)",90715,105.09
05775,"INJ, TD VACC NO PRSRV GT OR EQ 7, PER DOSE (NON STATE)",90714,70.17
05820,"INJ, H PAPILLOMA VACC 4 VALENT IM USE, PER VAC (NON-STATE)",90649,427.23
0587T,PERQ IMPLTJ/RPLCMT ISDNS PTN - FAC,0587T,"1,644.00"
0588T,REVISION/REMOVAL ISDNS PTN - FAC,0588T,689.00
0589T,ELEC ALYS SMPL PRGRMG IINS - FAC,0589T,299.00
0590T,ELEC ALYS CPLX PRGRMG IINS - FAC,0590T,299.00
0620T,EVASC VEN ARTLZ TIBL/PRNL VN - FAC,0620T,"17,601.00"
0624T,AUTO QUAN C PLAQ DATA PREP,0624T,N/A
0625T,AUTO QUAN C PLAQ CPTR ALYS,0625T,N/A
0627T,PERQ NJX ALGC FLUOR LMBR 1ST - FAC,0627T,"13,493.00"
0628T,PERQ NJX ALGC FLUOR LMBR EA - FAC,0628T,"6,746.50"
0629T,PERQ NJX ALGC CT LMBR 1ST - FAC,0629T,"13,493.00"
0630T,PERQ NJX ALGC CT LMBR EA - FAC,0630T,"6,746.50"
0631T,TC VIS LIT HYPERSPECTRAL IMG - FAC,0631T,65.00
0633T,CT BREAST W/3D UNI C- - TECH,0633T,287.00
0634T,CT BREAST W/3D UNI C+ - TECH,0634T,470.00
0635T,CT BREAST W/3D UNI C-/C+ - TECH,0635T,470.00
0636T,CT BREAST W/3D BI C- - TECH,0636T,606.00
0637T,CT BREAST W/3D BI C+ - TECH,0637T,968.00
0638T,CT BREAST W/3D BI C-/C+ - TECH,0638T,968.00
06541,"ADULT SPEECH THERAPY,REDUCED TIME (30 MINS)",92507,184.00
06571,"PEDIATRIC SPEECH THERAPY,REDUCED TIME (30 MINS) - -FAC",92507,184.00
06572,"PEDIATRIC SPEECH THERAPY,STANDARD TIME PLUS (60 MINS) - -FAC",92507,367.00
06840,NO CHARGE VISIT--FAC,,0.00
07176,URINARY LEG BAG,,14.00
07506,"TRANSRECTAL ULTRASOUND, PROSTATE - TECH ONLY",76872,660.00
07517,REMOVAL OF BREAST BALLOON CATHETER - FAC,19499,210.00
07521,INSERTION OF VAGINAL CYLINDER,58999,601.00
07522,CONE BEAM CT,77014,629.00
08199,INFLAMMADRY POC TEST FOR DRY EYES,83516,80.00
08201,IMMUNOASSAY FOR TUMOR ANTIGEN  -  TECH,86316,150.00
08213,"CELL COUNT, MISCELLANEOUS BODY FLUIDS; W/DIFFERENTIAL CT",89051,53.00
08243,ANTIHUMAN GLOBULIN TEST; INDIRECT TITER,86886,566.00
08244,"NEPHELOMETRY, EACH ANALYTE, NOS (UNLISTED)",83883,119.00
08251,PROTOPORHYRIN-RBC QUANT,84202,81.00
08266,EOSINOPHIL COUNT ABSOLUTE,85999,35.00
08300,OCC.MED.  PROFILE #2A - TECH,84999,51.00
08302,PREP OF LEUKO REDUCED PLATELETS BY  FILTRATION - TECH,P9031,495.00
08306,"PLASMA,SINGLE DONOR, FRESH FROZEN,EACH UNIT,250CC - TECH",P9017,260.00
08311,CRYOPRECIPITATED ANTIHEMOPHILIC  FACTOR/UNIT - TECH,P9012,179.00
08312,PREPARATION OF REDUCED VOLUME  PLATELETS - TECH,86999,334.00
08313,LEUKOCYTE REMOVAL  BY FILTRATION - TECH,P9016,670.00
08314,"RED BLOOD CELLS, EACH UNIT - TECH",P9021,566.00
08316,BACTERIAL  CULTRE - TECH,87081,64.00
08317,"RADIOLOGICAL EXAM, SURGICAL SPECIMEN",76098,"1,435.00"
08318,ARTERIAL  PUNCTURE - TECH,36600,367.00
08320,ZONISAMIDE (ZONEGRAN) LEVEL - TECH,80299,130.00
08321,TOCAINIDE LEVEL - TECH,80299,130.00
08322,SULFAMETHOXAZOLE LEVEL - TECH,80299,130.00
08323,METHOTREXATE LEVEL - TECH,80299,130.00
08325,CEPHLEXIN LEVEL - TECH,80299,130.00
08326,CAFFEINE LEVEL - TECH,80299,130.00
08327,SOTALOL LEVEL - TECH,80299,130.00
08329,LAMOTRIGINE LEVEL  - TECH,80299,130.00
08331,GABAPENTIN LEVEL - TECH,80299,130.00
08332,LEVETIRACETAM LEVEL - TECH,80299,130.00
08333,FUROSEMIDE (LASIX) LEVEL - TECH,80299,130.00
08335,FENTANYL LEVEL - TECH,80299,130.00
08336,TRAZODONE LEVEL - TECH,80299,130.00
08337,ITRACONAZOLE LEVEL - TECH,80299,130.00
08339,PROTRIPTYLINE LEVEL - TECH,80299,130.00
08340,TRICYCLICS LEVEL - TECH,80299,130.00
08341,OXCARBAZEPINE (TRILEPTAL) LEVEL - TECH,80299,130.00
08342,GROSS HEMOLYSIS URINE - TECH,81099,N/A
08350,URIN TEST - TECH,84703,52.00
08353,"CULTURE, VIRAL - TECH",87491,151.00
